Id,DwellSubClass,Zone,Frontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Slope,Condition1,Condition2,DwellClass,OverallQuality,OverallCondition,YearBuilt,ExteriorCondition,BasementCondition,TotalBSF,HeatingQC,CentralAir,1stFSF,2ndFSF,LowQualFinSF,LivingArea,FullBath,HalfBath,BedroomAbvGr,KitchenQuality,KitchenAbvGr,TotalRmsAbvGrd,Fireplaces,GarageType,GarageCars,PavedDrive,PoolArea,OpenPorchSF,Fence,MoSold,YrSold,SaleType,SalePrice
21,60,RL,101,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,8,5,2005,TA,TA,1158,Ex,Y,1158,1218,0,2376,3,1,4,Gd,1,9,1,BuiltIn,3,Y,0,154,NA,11,2006,New,325300
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,7,1930,TA,TA,637,Ex,Y,1108,0,0,1108,1,0,3,Gd,1,6,1,Attchd,1,N,0,0,GdPrv,6,2007,WD,139400
23,20,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,8,5,2002,TA,TA,1777,Ex,Y,1795,0,0,1795,2,0,3,Gd,1,7,1,Attchd,2,Y,0,159,NA,9,2008,WD,230000
24,120,RM,44,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,5,7,1976,TA,TA,1040,TA,Y,1060,0,0,1060,1,0,3,TA,1,6,1,Attchd,2,Y,0,110,NA,6,2007,WD,129900
25,20,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,8,1968,Gd,TA,1060,Ex,Y,1060,0,0,1060,1,0,3,Gd,1,6,1,Attchd,1,Y,0,90,MnPrv,5,2010,WD,154000
26,20,RL,110,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,8,5,2007,TA,TA,1566,Ex,Y,1600,0,0,1600,2,0,3,Gd,1,7,1,Attchd,3,Y,0,56,NA,7,2009,WD,256300
27,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,5,7,1951,TA,TA,900,TA,Y,900,0,0,900,1,0,3,Gd,1,5,0,Detchd,2,Y,0,32,NA,5,2010,WD,134800
28,20,RL,98,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,8,5,2007,TA,TA,1704,Ex,Y,1704,0,0,1704,2,0,3,Gd,1,7,1,Attchd,3,Y,0,50,NA,5,2010,WD,306000
29,20,RL,47,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,5,6,1957,TA,TA,1484,TA,Y,1600,0,0,1600,1,0,2,TA,1,6,2,Attchd,1,Y,0,258,NA,12,2006,WD,207500
30,30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Feedr,RRNn,1Fam,4,6,1927,TA,TA,520,Fa,N,520,0,0,520,1,0,1,Fa,1,4,0,Detchd,1,Y,0,0,NA,5,2008,WD,68500
31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,4,4,1920,Fa,TA,649,TA,N,649,668,0,1317,1,0,3,TA,1,6,0,Detchd,1,N,0,54,MnPrv,7,2008,WD,40000
32,20,RL,NA,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,5,6,1966,TA,TA,1228,Gd,Y,1228,0,0,1228,1,1,3,Gd,1,6,0,Attchd,1,Y,0,65,MnPrv,6,2008,WD,149350
33,20,RL,85,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,8,5,2007,TA,TA,1234,Ex,Y,1234,0,0,1234,2,0,3,Gd,1,7,0,Attchd,2,Y,0,30,NA,1,2008,WD,179900
34,20,RL,70,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,5,1959,TA,TA,1398,Gd,Y,1700,0,0,1700,1,1,4,Gd,1,6,1,Attchd,2,Y,0,38,NA,4,2010,WD,165500
35,120,RL,60,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,9,5,2005,TA,TA,1561,Ex,Y,1561,0,0,1561,2,0,2,Ex,1,6,1,Attchd,2,Y,0,47,NA,8,2007,WD,277500
36,60,RL,108,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,8,5,2004,TA,TA,1117,Ex,Y,1132,1320,0,2452,3,1,4,Gd,1,9,1,BuiltIn,3,Y,0,32,NA,9,2006,WD,309000
37,20,RL,112,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,5,5,1994,TA,TA,1097,Ex,Y,1097,0,0,1097,1,1,3,TA,1,6,0,Attchd,2,Y,0,64,NA,6,2009,WD,145000
38,20,RL,74,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,6,1954,TA,TA,1297,Gd,Y,1297,0,0,1297,1,0,3,TA,1,5,1,Attchd,2,Y,0,0,NA,10,2009,WD,153000
39,20,RL,68,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1953,Gd,TA,1057,TA,Y,1057,0,0,1057,1,0,3,Gd,1,5,0,Detchd,1,Y,0,52,NA,1,2010,WD,109000
40,90,RL,65,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,4,5,1955,TA,NA,0,TA,N,1152,0,0,1152,2,0,2,Fa,2,6,0,NA,0,N,0,0,NA,6,2008,WD,82000
41,20,RL,84,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,5,1965,TA,TA,1088,Ex,Y,1324,0,0,1324,2,0,3,TA,1,6,1,Attchd,2,Y,0,138,GdWo,12,2006,WD,160000
42,20,RL,115,16905,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,6,1959,Gd,TA,1350,Gd,Y,1328,0,0,1328,1,1,2,TA,1,5,2,Attchd,1,P,0,104,NA,7,2007,WD,170000
43,85,RL,NA,9180,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,5,7,1983,TA,TA,840,Gd,Y,884,0,0,884,1,0,2,Gd,1,5,0,Attchd,2,Y,0,0,MnPrv,12,2007,WD,144000
44,20,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,5,6,1975,TA,TA,938,TA,Y,938,0,0,938,1,0,3,TA,1,5,0,Detchd,1,Y,0,0,MnPrv,7,2008,WD,130250
45,20,RL,70,7945,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,6,1959,TA,TA,1150,Ex,Y,1150,0,0,1150,1,0,3,TA,1,6,0,Attchd,1,Y,0,0,NA,5,2006,WD,141000
46,120,RL,61,7658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,9,5,2005,TA,TA,1752,Ex,Y,1752,0,0,1752,2,0,2,Ex,1,6,1,Attchd,2,Y,0,82,NA,2,2010,WD,319900
47,50,RL,48,12822,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,7,5,2003,TA,TA,1434,Ex,Y,1518,631,0,2149,1,1,1,Gd,1,6,1,Attchd,2,Y,0,43,NA,8,2009,WD,239686
48,20,FV,84,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,8,5,2006,TA,TA,1656,Ex,Y,1656,0,0,1656,2,0,3,Gd,1,7,0,Attchd,3,Y,0,146,NA,7,2007,WD,249700
49,190,RM,33,4456,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2fmCon,4,5,1920,TA,TA,736,Gd,Y,736,716,0,1452,2,0,2,TA,3,8,0,NA,0,N,0,0,NA,6,2009,New,113000
50,20,RL,66,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1966,TA,TA,955,Ex,Y,955,0,0,955,1,0,3,TA,1,6,0,Attchd,1,Y,0,0,MnPrv,1,2007,WD,127000
51,60,RL,NA,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,6,6,1997,TA,TA,794,Gd,Y,794,676,0,1470,2,0,3,TA,1,6,0,Attchd,2,Y,0,75,NA,7,2007,WD,177000
52,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,6,1934,TA,TA,816,TA,Y,816,0,360,1176,1,0,3,TA,1,6,1,Detchd,2,Y,0,0,MnPrv,9,2006,WD,114500
53,90,RM,110,8472,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,RRNn,Norm,Duplex,5,5,1963,TA,TA,816,TA,N,816,0,0,816,1,0,2,TA,1,5,0,CarPort,2,Y,0,0,NA,5,2010,WD,110000
54,20,RL,68,50271,Pave,NA,IR1,Low,AllPub,Inside,Gtl,Norm,Norm,1Fam,9,5,1981,TA,TA,1842,Gd,Y,1842,0,0,1842,0,1,0,Gd,1,5,1,Attchd,3,Y,0,72,NA,11,2006,WD,385000
55,80,RL,60,7134,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,Norm,Norm,1Fam,5,5,1955,TA,TA,384,TA,Y,1360,0,0,1360,1,0,3,TA,1,6,1,Detchd,2,Y,0,50,MnPrv,2,2007,WD,130000
56,20,RL,100,10175,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,5,1964,TA,TA,1425,Gd,Y,1425,0,0,1425,2,0,3,TA,1,7,1,Attchd,2,Y,0,0,NA,7,2008,WD,180500
57,160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,8,5,1999,TA,TA,970,Ex,Y,983,756,0,1739,2,1,3,Gd,1,7,0,Attchd,2,Y,0,0,NA,8,2009,WD,172500
58,60,RL,89,11645,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,7,5,2004,TA,TA,860,Ex,Y,860,860,0,1720,2,1,3,Gd,1,7,0,Attchd,2,Y,0,70,NA,8,2006,WD,196500
59,60,RL,66,13682,Pave,NA,IR2,HLS,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,10,5,2006,TA,TA,1410,Ex,Y,1426,1519,0,2945,3,1,3,Gd,1,10,1,BuiltIn,3,Y,0,0,NA,10,2006,New,438780
60,20,RL,60,7200,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1972,TA,TA,780,Ex,Y,780,0,0,780,1,0,2,TA,1,4,0,Detchd,1,Y,0,0,MnPrv,1,2008,WD,124900
61,20,RL,63,13072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,1Fam,6,5,2004,TA,TA,1158,Ex,Y,1158,0,0,1158,1,1,3,Gd,1,5,0,Detchd,2,Y,0,50,NA,5,2006,New,158000
62,75,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1920,TA,Fa,530,TA,N,581,530,0,1111,1,0,3,Fa,1,6,0,Detchd,1,N,0,0,NA,3,2007,WD,101000
63,120,RL,44,6442,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,8,5,2006,TA,Gd,1370,Ex,Y,1370,0,0,1370,2,0,2,Gd,1,6,1,Attchd,2,Y,0,49,NA,10,2007,WD,202500
64,70,RM,50,10300,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,RRAn,Feedr,1Fam,7,6,1921,TA,TA,576,Gd,Y,902,808,0,1710,2,0,3,TA,1,9,0,Detchd,2,Y,0,11,GdPrv,4,2010,WD,140000
65,60,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,5,1997,TA,TA,1057,Ex,Y,1057,977,0,2034,2,1,3,Gd,1,8,0,Attchd,2,Y,0,36,GdPrv,2,2009,WD,219500
66,60,RL,76,9591,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,8,5,2004,TA,TA,1143,Ex,Y,1143,1330,0,2473,2,1,4,Gd,1,9,1,BuiltIn,3,Y,0,151,NA,10,2007,WD,317000
67,20,RL,NA,19900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,PosA,Norm,1Fam,7,5,1970,TA,TA,1947,TA,Y,2207,0,0,2207,2,0,3,TA,1,7,1,Attchd,2,Y,0,0,NA,7,2010,WD,180000
68,20,RL,72,10665,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,5,2003,TA,TA,1453,Ex,Y,1479,0,0,1479,2,0,3,Gd,1,7,0,Attchd,2,Y,0,29,NA,6,2007,WD,226000
69,30,RM,47,4608,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Artery,Norm,1Fam,4,6,1945,Gd,TA,747,TA,Y,747,0,0,747,1,0,2,TA,1,4,0,Attchd,1,Y,0,0,NA,6,2010,WD,80000
70,50,RL,81,15593,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,7,4,1953,TA,TA,1304,TA,Y,1304,983,0,2287,2,0,3,TA,1,7,1,Attchd,2,Y,0,21,NA,7,2006,WD,225000
71,20,RL,95,13651,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,6,1973,Gd,TA,2223,Ex,Y,2223,0,0,2223,2,0,3,TA,1,8,2,Attchd,2,Y,0,0,NA,2,2007,WD,244000
72,20,RL,69,7599,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,4,6,1982,TA,TA,845,TA,Y,845,0,0,845,1,0,2,TA,1,4,0,Detchd,2,Y,0,0,NA,6,2007,WD,129500
73,60,RL,74,10141,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,7,5,1998,TA,TA,832,Gd,Y,885,833,0,1718,2,1,3,TA,1,7,1,Attchd,2,Y,0,94,NA,12,2009,WD,185000
74,20,RL,85,10200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1954,TA,TA,1086,Gd,Y,1086,0,0,1086,1,0,3,TA,1,6,0,Attchd,2,Y,0,0,GdWo,5,2010,WD,144900
75,50,RM,60,5790,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,3,6,1915,Gd,TA,840,Gd,N,840,765,0,1605,2,0,3,TA,2,8,0,Detchd,1,Y,0,0,NA,5,2010,WD,107400
76,180,RM,21,1596,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,4,5,1973,TA,TA,462,TA,Y,526,462,0,988,1,0,2,TA,1,5,0,BuiltIn,1,Y,0,101,GdWo,11,2009,WD,91000
77,20,RL,NA,8475,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,4,7,1956,TA,TA,952,Ex,Y,952,0,0,952,1,0,2,TA,1,4,0,Detchd,1,Y,0,0,NA,4,2008,WD,135750
78,50,RM,50,8635,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,5,1948,TA,TA,672,TA,Y,1072,213,0,1285,1,0,2,TA,1,6,0,Detchd,1,Y,0,0,MnPrv,1,2008,WD,127000
79,90,RL,72,10778,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,4,5,1968,TA,TA,1768,TA,N,1768,0,0,1768,2,0,4,TA,2,8,0,NA,0,Y,0,0,NA,4,2010,WD,136500
80,50,RM,60,10440,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,5,6,1910,TA,TA,440,Gd,Y,682,548,0,1230,1,1,2,TA,1,5,0,Detchd,2,Y,0,0,MnPrv,5,2009,WD,110000
81,60,RL,100,13000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,6,6,1968,Gd,TA,896,TA,Y,1182,960,0,2142,2,1,4,Gd,1,8,1,Attchd,1,Y,0,72,NA,6,2009,WD,193500
82,120,RM,32,4500,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,TwnhsE,6,5,1998,Gd,Gd,1237,Ex,Y,1337,0,0,1337,2,0,2,TA,1,5,0,Attchd,2,Y,0,199,NA,3,2006,WD,153500
83,20,RL,78,10206,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,8,5,2007,TA,TA,1563,Ex,Y,1563,0,0,1563,2,0,3,Gd,1,6,1,Attchd,3,Y,0,99,NA,10,2008,WD,245000
84,20,RL,80,8892,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,5,1960,TA,TA,1065,Gd,Y,1065,0,0,1065,1,1,3,TA,1,6,0,Detchd,2,Y,0,0,NA,7,2007,COD,126500
85,80,RL,NA,8530,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,5,1995,TA,TA,384,Gd,Y,804,670,0,1474,2,1,3,TA,1,7,1,BuiltIn,2,Y,0,72,NA,5,2009,WD,168500
86,60,RL,121,16059,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,8,5,1991,TA,TA,1288,Ex,Y,1301,1116,0,2417,2,1,4,Gd,1,9,1,Attchd,2,Y,0,82,NA,4,2006,WD,260000
87,60,RL,122,11911,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,5,2005,TA,TA,684,Ex,Y,684,876,0,1560,2,1,3,Gd,1,6,1,BuiltIn,2,Y,0,38,NA,3,2009,WD,174000
88,160,FV,40,3951,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,TwnhsE,6,5,2009,TA,TA,612,Ex,Y,612,612,0,1224,2,1,2,Gd,1,4,0,Detchd,2,Y,0,234,NA,6,2009,New,164500
89,50,C (all),105,8470,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Feedr,Feedr,1Fam,3,2,1915,Fa,Fa,1013,TA,N,1013,0,513,1526,1,0,2,Fa,1,6,0,NA,0,N,0,0,MnPrv,10,2009,ConLD,85000
90,20,RL,60,8070,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,4,5,1994,TA,TA,990,Ex,Y,990,0,0,990,1,0,3,TA,1,5,0,NA,0,Y,0,0,NA,8,2007,WD,123600
91,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,4,5,1950,TA,NA,0,TA,Y,1040,0,0,1040,1,0,2,TA,1,4,0,Detchd,2,Y,0,29,NA,7,2006,WD,109900
92,20,RL,85,8500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,3,1961,TA,TA,1235,TA,Y,1235,0,0,1235,1,0,2,TA,1,6,0,Attchd,2,Y,0,0,GdWo,12,2006,WD,98600
93,30,RL,80,13360,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1921,Gd,TA,876,Ex,Y,964,0,0,964,1,0,2,TA,1,5,0,Detchd,2,Y,0,0,NA,8,2009,WD,163500
94,190,C (all),60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,2fmCon,6,6,1910,TA,Fa,1214,Ex,N,1260,1031,0,2291,2,0,4,TA,2,9,1,Detchd,2,Y,0,0,NA,11,2007,WD,133900
95,60,RL,69,9337,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,5,1997,Gd,TA,824,Ex,Y,905,881,0,1786,2,1,3,Gd,1,7,0,Attchd,2,Y,0,162,NA,5,2007,WD,204750
96,60,RL,NA,9765,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,6,8,1993,Gd,Gd,680,Gd,Y,680,790,0,1470,2,1,3,TA,1,6,1,BuiltIn,2,Y,0,63,NA,4,2009,WD,185000
97,20,RL,78,10264,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,5,1999,TA,TA,1588,Ex,Y,1588,0,0,1588,2,0,3,Gd,1,6,0,Attchd,2,Y,0,29,NA,8,2006,WD,214000
98,20,RL,73,10921,Pave,NA,Reg,HLS,AllPub,Inside,Gtl,Norm,Norm,1Fam,4,5,1965,TA,TA,960,TA,Y,960,0,0,960,1,0,3,TA,1,6,0,Attchd,1,P,0,0,NA,5,2007,WD,94750
99,30,RL,85,10625,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,5,5,1920,TA,TA,458,Fa,N,835,0,0,835,1,0,2,TA,1,5,0,Basment,1,Y,0,0,NA,5,2010,COD,83000
100,20,RL,77,9320,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,4,5,1959,TA,TA,950,Fa,Y,1225,0,0,1225,1,1,3,TA,1,6,0,NA,0,Y,0,0,NA,1,2010,WD,128950
101,20,RL,NA,10603,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,7,1977,TA,TA,1610,Gd,Y,1610,0,0,1610,2,0,3,Gd,1,6,2,Attchd,2,Y,0,68,NA,2,2010,WD,205000
102,60,RL,77,9206,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,5,1985,TA,TA,741,TA,Y,977,755,0,1732,2,1,3,Gd,1,7,1,Attchd,2,Y,0,46,NA,6,2010,WD,178000
